DocNo,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,No,TopicNo,TopicValue,Citation,Article Title,Source title,DOI,DOI Link,Source
448,0.020464102,0.020470783,0.020461541,0.020456295,0.020458853,0.815846205,0.020459831,0.020460444,0.020463221,0.020458721,521,6,0.815846205,Chen (2021),Review on Quantum Communication and Quantum Computation,Journal of Physics: Conference Series,10.1088/1742-6596/1865/2/022008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104674223&doi=10.1088%2f1742-6596%2f1865%2f2%2f022008&partnerID=40&md5=59074823c345d0a97def691b75a76a92,Scopus
449,0.016795512,0.01679451,0.016795291,0.016797263,0.016808085,0.016805455,0.016796049,0.848818064,0.016794935,0.016794829,522,8,0.848818064,Zapata et al. (2021),Computational Infrared Spectroscopy of 958 Phosphorus-Bearing Molecules,Frontiers in Astronomy and Space Sciences,10.3389/fspas.2021.639068,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109977528&doi=10.3389%2ffspas.2021.639068&partnerID=40&md5=1a8eb940e1fbaeeed9b49bcd851de78f,Scopus
450,0.017772211,0.017772458,0.017773012,0.017772917,0.017774122,0.017775614,0.017772987,0.017773686,0.017774291,0.840038717,524,10,0.840038717,Fazili et al. (2021),Novel Parity Generator and Detector Design using Quantum Dots,"2021 6th International Conference for Convergence in Technology, I2CT 2021",10.1109/I2CT51068.2021.9418120,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106520382&doi=10.1109%2fI2CT51068.2021.9418120&partnerID=40&md5=4fe777f4c0bc84134522013ff5ece286,Scopus
451,0.021099726,0.021103343,0.810097814,0.021100391,0.02109997,0.021097848,0.0210975,0.021102924,0.02110141,0.021099046,525,3,0.810097814,Li et al. (2021),Strong photon blockade in an all-fiber emitter-cavity quantum electrodynamics system,Physical Review A,10.1103/PhysRevA.103.043724,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105097004&doi=10.1103%2fPhysRevA.103.043724&partnerID=40&md5=6019a71b8756a1f19b7a5bfaf90ec430,Scopus
452,0.020932745,0.020940185,0.020935096,0.02093265,0.020932516,0.020934854,0.020933293,0.020933326,0.020932162,0.811593175,526,10,0.811593175,Kim et al. (2021),Study of type ii spdc in lithium niobate for high spectral purity photon pair generation,Crystals,10.3390/cryst11040406,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104583459&doi=10.3390%2fcryst11040406&partnerID=40&md5=d8df44f67949afc40da79cdef7803c2b,Scopus
453,0.023049502,0.023058714,0.792547047,0.023043316,0.023063337,0.023049753,0.023044577,0.023046354,0.023051372,0.023046054,527,3,0.792547047,Qi & Jing (2021),Magnon-assisted photon-phonon conversion in the presence of structured environments,Physical Review A,10.1103/PhysRevA.103.043704,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104541858&doi=10.1103%2fPhysRevA.103.043704&partnerID=40&md5=52e56c1bb8ce4ab98122ef0285d8f062,Scopus
454,0.026487796,0.761604428,0.026486168,0.026489899,0.026487598,0.026490096,0.026489986,0.026489371,0.02648822,0.026486427,528,2,0.761604428,Vidil & Edamatsu (2021),Nonlocal generalized quantum measurements of bipartite spin products without maximal entanglement,New Journal of Physics,10.1088/1367-2630/abee3f,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104529875&doi=10.1088%2f1367-2630%2fabee3f&partnerID=40&md5=dd154c1383d6d954cc3e23f93fce5cd4,Scopus
455,0.015622984,0.015623782,0.015623927,0.015624805,0.015622859,0.015622605,0.015622131,0.859392166,0.01562243,0.015622296,529,8,0.859392166,Verdel et al. (2021),Variational classical networks for dynamics in interacting quantum matter,Physical Review B,10.1103/PhysRevB.103.165103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104462877&doi=10.1103%2fPhysRevB.103.165103&partnerID=40&md5=4ce14a46692c214a353c1c743b8261b1,Scopus
456,0.022064308,0.022070156,0.801401079,0.022065714,0.022068402,0.022066463,0.022066941,0.022064492,0.022063591,0.022068875,530,3,0.801401079,Tankimanova et al. (2021),Colloidal PbS Quantum Dots for Visible-to-Near-Infrared Optical Internet of Things,IEEE Photonics Journal,10.1109/JPHOT.2021.3066521,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103216307&doi=10.1109%2fJPHOT.2021.3066521&partnerID=40&md5=77309613979122b76b14a3b671593307,Scopus
457,0.019432234,0.019436229,0.019435633,0.01943321,0.019437913,0.019433999,0.019432131,0.825091481,0.019432988,0.019434171,531,8,0.825091481,Coppolaro et al. (2021),Surface-Wave Propagation on Non-Hermitian Metasurfaces with Extreme Anisotropy,IEEE Transactions on Microwave Theory and Techniques,10.1109/TMTT.2021.3057632,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102267041&doi=10.1109%2fTMTT.2021.3057632&partnerID=40&md5=4035c70e49b9d1162140fe824a222598,Scopus
458,0.023814885,0.023813885,0.023815028,0.023821425,0.023814976,0.02382295,0.023818344,0.785642385,0.023816524,0.023819581,532,8,0.785642385,Yan et al. (2021),Emotion space modelling for social robots,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2021.104178,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099412219&doi=10.1016%2fj.engappai.2021.104178&partnerID=40&md5=950d880bf1d76bbe3ec8f53b0b87866e,Scopus
459,0.019462759,0.019462747,0.019463276,0.01947129,0.01946361,0.019463709,0.019463323,0.824824333,0.01945995,0.019464973,533,8,0.824824333,Qiao et al. (2021),A Novel Approach for Service Function Chain Embedding in Cloud Datacenter Networks,IEEE Communications Letters,10.1109/LCOMM.2020.3043845,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097950616&doi=10.1109%2fLCOMM.2020.3043845&partnerID=40&md5=81cd1dd1da6b4591987dac4e01d9a244,Scopus
460,0.020903824,0.020898938,0.020900574,0.020902878,0.020899093,0.020900251,0.020906769,0.811885417,0.020900995,0.020901235,534,8,0.811885417,Morawietz & Artrith (2021),Machine learning-accelerated quantum mechanics-based atomistic simulations for industrial applications,Journal of Computer-Aided Molecular Design,10.1007/s10822-020-00346-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092348501&doi=10.1007%2fs10822-020-00346-6&partnerID=40&md5=8c4f74f4af3dacc934987877b104c327,Scopus
461,0.028490786,0.028495492,0.028495489,0.028489582,0.02849452,0.02849265,0.028491635,0.028490268,0.028490866,0.743568718,535,10,0.743568718,Xue et al. (2021),Bright room temperature near-infrared single-photon emission from single point defects in the AlGaN film,Applied Physics Letters,10.1063/5.0045506,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103449859&doi=10.1063%2f5.0045506&partnerID=40&md5=8888e0073584be319bbb16244d13b7dc,Scopus
462,0.01796261,0.018054513,0.018039813,0.017958023,0.017967073,0.017958537,0.017970208,0.838051021,0.017972022,0.018066198,536,8,0.838051021,Ivonina et al. (2021),Quantum chemistry-machine learning approach for predicting and elucidating molecular hyperpolarizability: Application to [2.2]paracyclophane-containing push-pull polymers,Journal of Chemical Physics,10.1063/5.0040342,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103290051&doi=10.1063%2f5.0040342&partnerID=40&md5=24bac38433679ce242beeeadba1e7802,Scopus
463,0.020973379,0.020968419,0.020969868,0.020981569,0.020969642,0.020970071,0.020975081,0.811252773,0.020967934,0.02097124,537,8,0.811252773,Gosh et al. (2021),SO-KDN: A Self-Organised Knowledge Defined Networks Architecture for Reliable Routing,ACM International Conference Proceeding Series,10.1145/3459955.3460617,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112195884&doi=10.1145%2f3459955.3460617&partnerID=40&md5=58f00ce0b0d6e80dffb7813ab07a5db0,Scopus
464,0.022583576,0.022584142,0.02258602,0.022583108,0.796737015,0.022585388,0.022583768,0.022582905,0.022590697,0.022583397,538,5,0.796737015,Gu et al. (2021),Differential phase shift quantum secret sharing using a twin field,Optics Express,10.1364/OE.417856,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102512731&doi=10.1364%2fOE.417856&partnerID=40&md5=7e45080d32a6b21188aaf4de4711b4f7,Scopus
465,0.023633732,0.78729713,0.023635926,0.023631943,0.023631502,0.023633225,0.023632081,0.023633031,0.023632769,0.023638656,540,2,0.78729713,Li et al. (2021),Quantum routings for single photons with different frequencies,Optics Express,10.1364/OE.418414,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102399753&doi=10.1364%2fOE.418414&partnerID=40&md5=e64541a23619bf781913fc3d2eccc8d9,Scopus
466,0.020343693,0.020457532,0.020430768,0.020345289,0.02035993,0.020346783,0.020357687,0.816487849,0.020351635,0.020518811,541,8,0.816487849,Saggio et al. (2021),Experimental quantum speed-up in reinforcementÂ learning agents,Nature,10.1038/s41586-021-03242-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102352430&doi=10.1038%2fs41586-021-03242-7&partnerID=40&md5=f2a4d32466ea061978e65f3d1920b14c,Scopus
467,0.029019404,0.029025832,0.029021515,0.738814831,0.029019304,0.029021822,0.029022742,0.029019207,0.029018193,0.02901716,542,4,0.738814831,Salazar et al. (2021),Optimal allocation of quantum resources,Quantum,10.22331/Q-2021-03-10-407,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103616655&doi=10.22331%2fQ-2021-03-10-407&partnerID=40&md5=d17b6bfa9afe8008dae4ec62109c7b3c,Scopus
468,0.020581758,0.020580091,0.020577554,0.020592393,0.02058759,0.814751327,0.020580083,0.020588407,0.02057698,0.020583818,546,6,0.814751327,Brandmeier et al. (2021),Future Development of Quantum Computing and Its Relevance to NATO,Connections,10.11610/Connections.20.2.08,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128354016&doi=10.11610%2fConnections.20.2.08&partnerID=40&md5=a1634cd999b64eb865d728f97fb9b946,Scopus
469,0.022910325,0.022912746,0.02291042,0.022917217,0.02291283,0.022913828,0.022911018,0.793787301,0.022913814,0.02291047,547,8,0.793787301,Hellstem (2021),Hybrid Quantum Network for classification of finance and MNIST data,"Proceedings - 2021 IEEE 18th International Conference on Software Architecture Companion, ICSA-C 2021",10.1109/ICSA-C52384.2021.00027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106563882&doi=10.1109%2fICSA-C52384.2021.00027&partnerID=40&md5=6debdeaab8467be22059291de37d6011,Scopus
470,0.020719985,0.020721214,0.020728402,0.0207188,0.020721806,0.020720908,0.020719381,0.020718722,0.020721797,0.813508987,548,10,0.813508987,Losev et al. (2021),Single Photon Detectors Based on SPADs: Circuit Solutions and Operating Modes,Russian Microelectronics,10.1134/S1063739721010078,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104285621&doi=10.1134%2fS1063739721010078&partnerID=40&md5=e640a8ce823e742cae7580c17bb58e0e,Scopus
471,0.019450611,0.019450761,0.019449983,0.824943542,0.019454533,0.019450761,0.019448536,0.019451119,0.019449867,0.019450262,549,4,0.824943542,Kuzmin & Vasilyev (2021),Diagrammatic technique for simulation of large-scale quantum repeater networks with dissipating quantum memories,Physical Review A,10.1103/PhysRevA.103.032618,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103642104&doi=10.1103%2fPhysRevA.103.032618&partnerID=40&md5=68de75712de0c3a3b80f23f937a4a86e,Scopus
472,0.02308994,0.023083955,0.023086837,0.023094436,0.023084121,0.023087991,0.023088025,0.023119407,0.023086723,0.792178571,550,10,0.792178571,Gyakushi et al. (2021),Charge-offset stability of single-electron devices based on single-layered Fe nanodot array,AIP Advances,10.1063/5.0040241,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102600891&doi=10.1063%2f5.0040241&partnerID=40&md5=b4c9a2e0f7fb72680ff97eb25de88dc8,Scopus
473,0.019903341,0.820858955,0.019907627,0.019903695,0.019902978,0.019904489,0.019904798,0.019902781,0.019904537,0.019906821,552,2,0.820858955,Han et al. (2021),High-Fidelity Hybrid Universal Quantum Controlled Gates on Photons and Quantum-Dot Spins,International Journal of Theoretical Physics,10.1007/s10773-021-04738-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100952592&doi=10.1007%2fs10773-021-04738-8&partnerID=40&md5=dfb336f6b659a3fdad350587a05cf385,Scopus
474,0.803762972,0.02180337,0.021808282,0.021803167,0.021801971,0.021804256,0.021803811,0.021803802,0.021804146,0.021804197,553,1,0.803762972,Zou et al. (2021),Induction of M2-Type Macrophage Differentiation for Bone Defect Repair via an Interpenetration Network Hydrogel with a GO-Based Controlled Release System,Advanced Healthcare Materials,10.1002/adhm.202001502,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099464877&doi=10.1002%2fadhm.202001502&partnerID=40&md5=ab67dd9ecd4f6af91fe04b2fab37f8d3,Scopus
475,0.020397007,0.020366399,0.020370958,0.02036893,0.81665653,0.020371687,0.020366466,0.020369677,0.020363653,0.020368673,554,5,0.81665653,R. et al. (2021),MUX induced Ring oscillators for encrypted Nano communication via Quantum Dot Cellular Automata,Nano Communication Networks,10.1016/j.nancom.2020.100338,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098667359&doi=10.1016%2fj.nancom.2020.100338&partnerID=40&md5=0933bd5f2be46160e1e14fb295ee5788,Scopus
476,0.021598075,0.021598645,0.021597734,0.021598665,0.80561626,0.021597594,0.021596525,0.021599261,0.02159889,0.021598328,557,5,0.80561626,Liu et al. (2021),Simulation detection based on single photon quantum key distribution protocol,Journal of Physics: Conference Series,10.1088/1742-6596/1812/1/012005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102982045&doi=10.1088%2f1742-6596%2f1812%2f1%2f012005&partnerID=40&md5=358964cb38396ce2b5fed7b170693728,Scopus
477,0.019415097,0.019411942,0.019412393,0.019412786,0.019414099,0.019412346,0.019412311,0.825284898,0.019409731,0.019414414,558,8,0.825284898,Wieduwilt et al. (2021),A Step toward the Quantification of Noncovalent Interactions in Large Biological Systems: The Independent Gradient Model-Extremely Localized Molecular Orbital Approach,Journal of Chemical Information and Modeling,10.1021/acs.jcim.0c01188,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100068685&doi=10.1021%2facs.jcim.0c01188&partnerID=40&md5=590d3debd4326dd4adf26c6ff5212c71,Scopus
478,0.018810226,0.0188186,0.018809468,0.018810079,0.018810138,0.01880865,0.018808855,0.018813537,0.018808225,0.830702245,559,10,0.830702245,Yadav et al. (2021),Room-Temperature Coupling of Single Photon Emitting Quantum Dots to Localized and Delocalized Modes in a Plasmonic Nanocavity Array,ACS Photonics,10.1021/acsphotonics.0c01635,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100955126&doi=10.1021%2facsphotonics.0c01635&partnerID=40&md5=56f231562883addf6044b71c46d5b888,Scopus
479,0.770768762,0.025468152,0.025471227,0.025477072,0.025468249,0.02546799,0.025471529,0.025471045,0.025466427,0.025469527,560,1,0.770768762,Gai et al. (2021),Highly permeable thin film composite hollow fiber membranes for brackish water desalination by incorporating amino functionalized carbon quantum dots and hypochlorite treatment,Journal of Membrane Science,10.1016/j.memsci.2020.118952,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097769854&doi=10.1016%2fj.memsci.2020.118952&partnerID=40&md5=608ee5b41f29b9adaadd2d88e071e184,Scopus
480,0.794832706,0.02279623,0.022792634,0.022797601,0.022804797,0.022790749,0.022797368,0.022805713,0.022790266,0.022791922,561,1,0.794832706,Chen et al. (2021),Theoretical H + O3rate coefficients from ring polymer molecular dynamics on an accurate global potential energy surface: assessing experimental uncertainties,Physical Chemistry Chemical Physics,10.1039/d0cp05771a,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100852019&doi=10.1039%2fd0cp05771a&partnerID=40&md5=5c07a8b3f49513eb58978fc6399c2eb8,Scopus
481,0.021871692,0.02186935,0.021871151,0.803164303,0.021869509,0.021871898,0.021872636,0.021870989,0.021867558,0.021870904,562,4,0.803164303,Mishra & Mitawa (2021),Improved round robin algorithm for effective scheduling process for CPU,"Proceedings of the 3rd International Conference on Intelligent Communication Technologies and Virtual Mobile Networks, ICICV 2021",10.1109/ICICV50876.2021.9388561,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104432750&doi=10.1109%2fICICV50876.2021.9388561&partnerID=40&md5=83aab5603c15aa4b10b15756043b9fd0,Scopus
482,0.020283481,0.020281738,0.020282,0.020294225,0.817447603,0.020280542,0.020284977,0.020284833,0.020278586,0.020282013,563,5,0.817447603,Zhou et al. (2021),A Data Reconciliation Model Based on Turbo for Satellite-Ground Quantum Key Distribution Network,Journal of Physics: Conference Series,10.1088/1742-6596/1757/1/012175,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102403601&doi=10.1088%2f1742-6596%2f1757%2f1%2f012175&partnerID=40&md5=3f7f3a645f0c6f74fe357261511012a3,Scopus
483,0.018359788,0.018359018,0.01836152,0.018358149,0.018359097,0.018360429,0.018360592,0.018359281,0.01835724,0.834764898,564,10,0.834764898,Fujii et al. (2021),Development of an epitaxial growth technique using iii-v on a si platform for heterogeneous integration of membrane photonic devices on si,Applied Sciences (Switzerland),10.3390/app11041801,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101851499&doi=10.3390%2fapp11041801&partnerID=40&md5=716a4458e41476ad8e9fff2622bf2129,Scopus
484,0.022547351,0.022566902,0.022544689,0.022544837,0.022545593,0.022545323,0.022543449,0.797065079,0.022551296,0.022545485,565,8,0.797065079,Czelusta & Mielczarek (2021),Quantum simulations of a qubit of space,Physical Review D,10.1103/PhysRevD.103.046001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100965285&doi=10.1103%2fPhysRevD.103.046001&partnerID=40&md5=e14261b073f5a858a7e9c64835f3ccb2,Scopus
485,0.018355394,0.018356428,0.018357351,0.018361488,0.018357262,0.018355781,0.018360758,0.83478415,0.018353663,0.0183577,566,8,0.83478415,Rocutto et al. (2021),Quantum Semantic Learning by Reverse Annealing of an Adiabatic Quantum Computer,Advanced Quantum Technologies,10.1002/qute.202000133,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106080859&doi=10.1002%2fqute.202000133&partnerID=40&md5=427a7ae2d71edd40634a62c05ae0f142,Scopus
486,0.023981102,0.023978613,0.023978936,0.02398086,0.023978684,0.784174979,0.023980323,0.023983289,0.023983464,0.02397974,567,6,0.784174979,Kim et al. (2021),The Future of Quantum Information: Challenges and Vision,Journal of Information Processing Systems,10.3745/JIPS.01.0063,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103331294&doi=10.3745%2fJIPS.01.0063&partnerID=40&md5=c8b67432fcdfa0d69a04befa5520fe54,Scopus
487,0.020509291,0.020511165,0.020511115,0.020509114,0.020510349,0.020513628,0.020509398,0.020510688,0.020515185,0.815400064,568,10,0.815400064,Ceccarelli et al. (2021),Recent Advances and Future Perspectives of Single-Photon Avalanche Diodes for Quantum Photonics Applications,Advanced Quantum Technologies,10.1002/qute.202000102,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103039199&doi=10.1002%2fqute.202000102&partnerID=40&md5=546b11cc3bc0b62ef5b688d223e933dd,Scopus
488,0.017233461,0.844905317,0.017232174,0.017233659,0.017233888,0.017232008,0.017233705,0.017232602,0.017231954,0.017231219,569,2,0.844905317,Li et al. (2021),Excess-noise suppression for a squeezed state propagating through random amplifying media via wave-front shaping,Physical Review A,10.1103/PhysRevA.103.023712,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101822366&doi=10.1103%2fPhysRevA.103.023712&partnerID=40&md5=f69d6168ad544c982c15f9a9aa3b8cdc,Scopus
489,0.020176532,0.020174442,0.020177124,0.020173272,0.020173822,0.02017433,0.020174969,0.020175001,0.02017349,0.818427026,570,10,0.818427026,Piacentini et al. (2021),Space Qualification of Ultrafast Laser-Written Integrated Waveguide Optics,Laser and Photonics Reviews,10.1002/lpor.202000167,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098191509&doi=10.1002%2flpor.202000167&partnerID=40&md5=81c9ce46659bc092790d14b835069f7d,Scopus
490,0.020295253,0.020298872,0.020298939,0.020293711,0.817330837,0.020295715,0.02029776,0.020294776,0.020294722,0.020299442,571,5,0.817330837,Yan et al. (2021),Measurement-device-independent quantum key distribution of multiple degrees of freedom of a single photon,Frontiers of Physics,10.1007/s11467-020-1005-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092779468&doi=10.1007%2fs11467-020-1005-1&partnerID=40&md5=d8261da782fe9cd5f74e830751ac49a0,Scopus
491,0.017384196,0.017383294,0.017383926,0.017381912,0.01738253,0.017385693,0.017384501,0.017383188,0.017382029,0.843548715,572,10,0.843548715,Pang et al. (2021),Free-Space Communications Enabled by Quantum Cascade Lasers,Physica Status Solidi (A) Applications and Materials Science,10.1002/pssa.202000407,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090083850&doi=10.1002%2fpssa.202000407&partnerID=40&md5=2d352662532780d577f6ef6cee59d7ff,Scopus
492,0.831794798,0.018688632,0.01869031,0.018690007,0.018689385,0.01869013,0.018688131,0.018691586,0.018685875,0.018691139,573,1,0.831794798,Kundu et al. (2021),Cubic versus hexagonal SiC vertical pin SPST/SPDT/SPMT switches for MMW communication systems: a modified quantum drift-diffusion model for switching characteristics analysis,Microsystem Technologies,10.1007/s00542-019-04445-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066038413&doi=10.1007%2fs00542-019-04445-9&partnerID=40&md5=da9832ec8f155459eb637f877bf5eb15,Scopus
493,0.846218109,0.017096506,0.017076449,0.017082848,0.017083073,0.017070705,0.017070143,0.01707756,0.01706527,0.017159361,574,1,0.846218109,Kundu et al. (2021),IIIâ€“V super-lattice SPST/SPMT pin switches for THz communication: theoretical reliability and experimental feasibility studies,Microsystem Technologies,10.1007/s00542-018-4053-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050298090&doi=10.1007%2fs00542-018-4053-5&partnerID=40&md5=c38d9ff5dbd1a19533e86fcc3d012010,Scopus
494,0.019892443,0.01989313,0.019891705,0.019889727,0.019886876,0.019887686,0.01988823,0.019889124,0.019890709,0.820990384,576,10,0.820990384,Wang et al. (2021),Single-crystal 3C-SiC-on-insulator platform for integrated quantum photonics,Optics Express,10.1364/OE.413556,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099163495&doi=10.1364%2fOE.413556&partnerID=40&md5=1072f0b088d82e56c0eed7d3718f54ab,Scopus
495,0.016958831,0.016953908,0.016955853,0.016956808,0.016954582,0.016953846,0.016953772,0.016953588,0.016954154,0.847404659,577,10,0.847404659,Yin et al. (2021),PbS QD-based photodetectors: Future-oriented near-infrared detection technology,Journal of Materials Chemistry C,10.1039/d0tc04612d,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099772888&doi=10.1039%2fd0tc04612d&partnerID=40&md5=859c9acdf02a17375c3e6e67d8a59afd,Scopus
496,0.025082631,0.025073119,0.025072144,0.025072766,0.025075927,0.025073735,0.025073208,0.025073931,0.025076173,0.774326384,578,10,0.774326384,Janardan & Guruviah (2021),Design and implementation of 16bit SRAM using quantum dot cellular automata,Journal of Physics: Conference Series,10.1088/1742-6596/1716/1/012046,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100754239&doi=10.1088%2f1742-6596%2f1716%2f1%2f012046&partnerID=40&md5=aec1c43b7e4f6109628eb71967875768,Scopus
497,0.819160998,0.02015679,0.020053281,0.020054199,0.020272825,0.020091278,0.020049531,0.020060146,0.020051101,0.020049863,579,1,0.819160998,Kroonblawd et al. (2021),A Quantum-Based Approach to Predict Primary Radiation Damage in Polymeric Networks,Journal of Chemical Theory and Computation,10.1021/acs.jctc.0c00967,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097749342&doi=10.1021%2facs.jctc.0c00967&partnerID=40&md5=fbeb3feb0727206a7987feb1f4ab20c9,Scopus
498,0.845539451,0.017160358,0.017162334,0.017161783,0.017164072,0.017162517,0.017159943,0.017166719,0.017159631,0.01716318,580,1,0.845539451,BoriÅ¡ek et al. (2021),Atomic-Level Mechanism of Pre-mRNA Splicing in Health and Disease,Accounts of Chemical Research,10.1021/acs.accounts.0c00578,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098857730&doi=10.1021%2facs.accounts.0c00578&partnerID=40&md5=f9ac0cd509a0e478dc4ef3cb598deb79,Scopus
499,0.020255707,0.020348979,0.020256303,0.0202512,0.020378744,0.02027292,0.020251038,0.020256018,0.020253833,0.817475259,582,10,0.817475259,Hua et al. (2021),Configurable heralded two-photon Fock-states on a chip,Optics Express,10.1364/OE.403552,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099093355&doi=10.1364%2fOE.403552&partnerID=40&md5=3fd87fd486bfc21eb28ee973e3e2f5a4,Scopus
500,0.020090234,0.020087527,0.020090505,0.020091506,0.020090619,0.020089464,0.02009039,0.020096118,0.020087413,0.819186211,584,10,0.819186211,Yaduvanshi (2021),Terahertz Dielectric Resonator Antennas for High Speed Communication and Sensing: From theory to design and implementation,Terahertz Dielectric Resonator Antennas for High Speed Communication and Sensing: From theory to design and implementation,10.1049/PBTE103E,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135285652&doi=10.1049%2fPBTE103E&partnerID=40&md5=2b1b10c9d2352f7006fd5adc849aa6fd,Scopus
501,0.019716077,0.019718371,0.019732574,0.019715827,0.019722641,0.019721664,0.82250756,0.01971494,0.019725269,0.019725107,585,7,0.82250756,Szabados et al. (2021),Low-threshold frequency comb generation using second-order nonlinearities in lithium niobate whispering gallery resonators,Optics InfoBase Conference Papers,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134721035&partnerID=40&md5=61a1a9d8565bcb68cf5e7add17d3145a,Scopus
502,0.017956641,0.017956162,0.017956594,0.838381946,0.017960509,0.017961767,0.017956337,0.017955171,0.017957672,0.017957173,586,4,0.838381946,Zhou et al. (2021),Study on Channel Characteristics of Terahertz Orbital Angular Momentum Communication System,"IEEE International Workshop on Electromagnetics: Applications and Student Innovation Competition, iWEM 2021 - Proceedings",10.1109/iWEM53379.2021.9790609,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132990920&doi=10.1109%2fiWEM53379.2021.9790609&partnerID=40&md5=0ce56adb7dda1e1a002df6f587e93d32,Scopus
503,0.022308951,0.022307983,0.022307945,0.799216628,0.022308156,0.022307817,0.022311307,0.02231312,0.022309331,0.022308754,588,4,0.799216628,Zhang & Xu (2021),Multi-objective QPSO for short-term load forecast based on diagonal recursive neural network,Journal of Computational Methods in Sciences and Engineering,10.3233/JCM-204736,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131544260&doi=10.3233%2fJCM-204736&partnerID=40&md5=4b64e40a24fffbdafb5cd2f8154c7c7f,Scopus
504,0.020520655,0.125388071,0.020524671,0.71041739,0.020530736,0.020526234,0.020521428,0.020522932,0.020521212,0.020526694,589,4,0.71041739,Prakash (2021),Quantum Meta-Heuristics and Applications,Cognitive Engineering for Next Generation Computing: A Practical Analytical Approach,10.1002/9781119711308.ch10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131470038&doi=10.1002%2f9781119711308.ch10&partnerID=40&md5=d4008a96668a2ad57e8bd4866ddaabae,Scopus
505,0.019786775,0.019784605,0.019785766,0.019791171,0.019786153,0.019789658,0.019787081,0.821913898,0.019788604,0.019786268,590,8,0.821913898,Alrifaie et al. (2021),Pedestrian and Objects Detection by Using Learning Complexity-Aware Cascades,"Proceedings of 2021 2nd Information Technology to Enhance E-Learning and other Application Conference, IT-ELA 2021",10.1109/IT-ELA52201.2021.9773589,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130899443&doi=10.1109%2fIT-ELA52201.2021.9773589&partnerID=40&md5=22bb0e8ad952c8200f5e0ec20e1ca399,Scopus
