NoDTest,Title,Main Topic,Key Points,Abstract,Authors,Publication Year,Topic1,Topic2,Topic3,SubAspect,achiev,appli,classic,coher,construct,demonstr,deploy,establish,exist,generat,implement,includ,introduc,km,length,link,network,number,practic,present,previous,provid,scheme,techniqu,time,applic,attack,base,communic,bound,channel,cryptographi,comput,cryptograph,devic,error,distribut,effici,entangl,general,function,independ,long,measur,loss,model,phase,photon,proof,qkd,protocol,random,rate,secur,state,system,singl,verif,key,high,adapt,amplif,arbitrari,assumpt,bb84,commit,compos,conjectur,detect,distanc,field,finit,iid,imperfect,improv,integr,issu,linear,local,lower,optim,presenc,privaci,pseudorandom,qrng,reduc,resourc,robust,scalabl,scale,scenario,secret,stabil,standard,strong,switch,tf,toler,twin,variabl,Magnitude
26,Quantum One-Wayness of the Single-Round Sponge with Invertible Permutations,Quantum Security of Sponge Functions,"Proves the “double-sided zero-search” conjecture by Unruh, establishing query bounds. Introduces a novel “symmetrization argument” using Young subgroups. Shows quantum one-wayness of the single-round sponge with invertible permutations.","Sponge hashing is a widely used class of cryptographic hash algorithms which underlies the current international hash function standard SHA-3. In a nutshell, a sponge function takes as input a bit-stream of any length and processes it via a simple iterative procedure: it repeatedly feeds each block of the input into a so-called block function, and then produces a digest by once again iterating the block function on the final output bits. While much is known about the post-quantum security of the sponge construction in the case when the block function is modeled as a random function or one-way permutation, the case of permutations allowing inverse queries, which more accurately models the construction underlying SHA-3, has so far remained a fundamental open problem. In this work, we make new progress towards overcoming this barrier and show several results. First, we prove the “double-sided zero-search” conjecture proposed by Unruh (eprint’ 2021) and show that finding zero-pairs in a random 2n-bit permutation requires at least Ω(2^n/2) many queries—and this is tight due to Grover’s algorithm. At the core of our proof lies a novel “symmetrization argument” which uses insights from the theory of Young subgroups. Second, we consider more general variants of the double-sided search problem and show similar query lower bounds for them. As an application, we prove the quantum one-wayness of the single-round sponge with invertible permutations in the quantum random permutation model.",Joseph Carolan (University of Maryland); Alexander Poremba (MIT),2024,0.104629,0.101636,0.793734,3,0,0,0,0,0,0,0,0.329029,0,0,0,0,0.245228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245228,0,0,0,0,0,0,0,0,0,0,0.372108,0,0,0,0,0,0,0,0,0,0,0,0,0.112356,0,0,0.658058,0,0,0,0,0,0,0,0,0,0,0.432826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000269
27,Mutual information chain rules for security proofs robust against device imperfections,Chain Rules in Quantum Cryptography,Derives chain rules for mutual information quantities in the presence of imperfect devices. Includes bounds on Rényi mutual information and smooth max-information. Applies results to device-dependent and device-independent protocols.,"In this work we derive a number of chain rules for mutual information quantities, suitable for analyzing quantum cryptography with imperfect devices that leak additional information to an adversary. First, we derive a chain rule between smooth min-entropy and smooth max-information, which improves over previous chain rules for characterizing one-shot information leakage caused by an additional conditioning register. Second, we derive an information accumulation theorem that bounds the Rényi mutual information of a state produced by a sequence of channels, in terms of the Rényi mutual information of the individual channel outputs. In particular, this yields simple bounds on the smooth max-information in the preceding chain rule. Third, we derive chain rules between Rényi entropies and Rényi mutual information, which can be used to modify the entropy accumulation theorem to accommodate leakage registers sent to the adversary in each round of a protocol. We show that these results can be used to handle some device imperfections in a variety of device-dependent and device-independent protocols, such as randomness generation and quantum key distribution.","Amir Arqand (Institute for Quantum Computing and Department of Physics and Astronomy, University of Waterloo); Tony Metger (Institute for Theoretical Physics, ETH Zurich); and Ernest Y.-Z. Tan (Institute for Quantum Computing and Department of Physics and Astronomy, University of Waterloo)",2024,0.0979164,0.119507,0.782577,3,0,0.162195,0,0,0,0,0,0,0,0,0,0.183431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120885,0,0.213361,0,0,0.733723,0,0,0,0,0,0,0.183431,0,0,0,0,0,0,0.145723,0,0.102333,0,0,0.055386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426723,0,0,0,0,0,0,0,0.213361,0,0,0,0,0,0.213361,0,0,0,0,0,0,0,0,0,0,0,0,0.999999909
28,Experimental Sample-Efficient Device-Independent Verification and Certification of a 4-qubit GHZ state,Device-Independent Verification of Quantum States,Adopts a protocol for certifying quantum states in the few-copies and non-IID regime. Demonstrates device-independent verification of a four-photon GHZ state using a high-fidelity photon source.,"Authentication of quantum resources is a critical tool in the development of quantum information processing protocols. In particular, the verification of quantum states is often used as a building block for communication tasks, determining whether the communicating parties can trust the resources at hand to exchange information or whether the protocol should be aborted. Self-testing methods have been used to tackle such verification tasks in a device-independent (DI) scenario. However, these approaches commonly consider the limit of large, identically and independently distributed (IID) samples, which weakens the DI claim and poses serious challenges to their experimental implementation. To address these issues, Gocanin et al. [1] developed a protocol to certify quantum states in the few-copies and non-IID regime. In this work, we adopt their protocol to experimentally demonstrate the device-independent verification of a four-photon GHZ state, produced with our compact and high-fidelity multipartite entangled photon source.",Laura dos Santos Martins (LIP6 - Sorbonne Université); Nicolas Laurent-Puig (LIP6 - Sorbonne Université); Ivan Šupić (LIP6 - Sorbonne Université); Pascal Lefebvre (LIP6 - Sorbonne Université); Damian Markham (LIP6 - Sorbonne Université); and Eleni Diamanti (LIP6 - Sorbonne Université),2024,0.0986335,0.804899,0.0964677,2,0,0,0,0,0,0.0870129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506394,0,0,0.149256,0,0,0,0.506394,0,0,0,0,0,0.222483,0,0,0.09417,0,0,0,0.37668,0,0,0.447768,0,0.134098,0,0,0,0,0,0,0,0,0,0,0,0,0.196341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000553
29,Unconditionally Secure Commitments with Quantum Auxiliary Inputs,Quantum Commitments,Proves the existence of computationally-hiding and statistically-binding quantum auxiliary-input commitments without relying on unproven assumptions. Introduces the CRQS model for statistically hiding and binding commitments.,"We show the following unconditional results on quantum commitments in two related yet different models: 1. We revisit the notion of quantum auxiliary-input commitments introduced by Chailloux, Kerenidis, and Rosgen (Comput. Complex. 2016) where both the committer and receiver take the same quantum state, which is determined by the security parameter, as quantum auxiliary inputs. We show that computationally-hiding and statistically-binding quantum auxiliary-input commitments exist unconditionally, i.e., without relying on any unproven assumption, while Chailloux et al. assumed a complexity-theoretic assumption, $QIP not subseteq QMA$. On the other hand, we observe that achieving both statistical hiding and statistical binding at the same time is impossible even in the quantum auxiliary-input setting. To the best of our knowledge, this is the first example of unconditionally proving computational security of any form of (classical or quantum) commitments for which statistical security is impossible. As intermediate steps toward our construction, we introduce and unconditionally construct post-quantum sparse pseudorandom distributions and quantum auxiliary-input EFI pairs which may be of independent interest. 2. We introduce a new model which we call the common reference quantum state (CRQS) model where both the committer and receiver take the same quantum state that is randomly sampled by an efficient setup algorithm. We unconditionally prove that there exist statistically hiding and statistically binding commitments in the CRQS model, circumventing the impossibility in the plain model. We also discuss their applications to zero-knowledge proofs, oblivious transfers, and multi-party computations.","Tomoyuki Morimae (Yukawa Institute for Theoretical Physics, Kyoto University, Kyoto, Japan); Barak Nehoran (Princeton University, Princeton, NJ); and Takashi Yamakawa (NTT Social Informatics Laboratories, Tokyo, Japan)",2024,0.762697,0.116356,0.120947,1,0,0,0,0,0,0,0,0,0.220005,0,0,0,0.144988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255903,0,0,0,0,0,0,0,0,0,0,0,0,0.194534,0,0,0,0,0,0,0,0.0664293,0,0,0,0,0,0,0,0,0,0.220005,0,0.880018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000137
30,Commitments are equivalent to one-way state generators,Quantum State Generators and Commitments,Shows equivalence between O(n/log(n))-copy OWSGs and poly(n)-copy OWSGs. Demonstrates that O(n/log(n))-copy OWSGs are the weakest from which commitments can be derived. Provides a simpler alternative construction compared to classical pseudorandom generators.,"One-way state generators (OWSG) [MY22a] are natural quantum analogs to classical one-way functions. We show that O(n/log(n))-copy OWSGs (n represents the input length) are equivalent to poly(n)-copy OWSGs and to quantum commitments. Since known results show that o(n/log(n))-copy OWSGs cannot imply commitments [CGG`23], this shows that O(n/log(n))-copy OWSGs are the weakest OWSGs from which we can get commitments (and hence much of quantum cryptography). Our construction follows along the lines of Håstad, Impagliazzo, Levin and Luby [HILL99], who obtained classical pseudorandom generators (PRG) from classical one-way functions (OWF), however with crucial modifications. Our construction, when applied to the classical case, provides an alternative to the construction provided by [HILL99]. Since we do not argue conditioned on the output of the one-way function, our construction and analysis are arguably simpler and may be of independent interest.","Rishabh Batra (CQT, NUS); Rahul Jain (CQT, NUS)",2024,0.723446,0.108094,0.16846,1,0,0,0.228673,0,0.181664,0.117878,0,0,0,0.544993,0,0,0,0,0,0,0,0,0,0,0,0.164886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255147,0,0,0,0,0,0,0,0,0,0,0.686019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999816
31,Finite-size decoy-state security proof against coherent attacks,Security of QKD Protocols,Extends decoy-state analysis to arbitrary attacks. Improves postselection technique and decoy-state analysis with one decoy intensity. Provides a full security proof for generic decoy-state protocols.,"Proving the security of quantum key distribution (QKD) protocols against arbitrary attacks is a challenging task for arbitrary protocols. Here, we accomplish this task by extending and improving both the decoy-state analysis against collective attacks, and the postselection technique to uplift this security proof to arbitrary attacks. First, we improve the postselection technique - both by improving the cost paid for the uplift, and by rigorously showing how it can be applied to generic optical protocols. Second, we fundamentally improve the decoy-state analysis in such a way that we require only one decoy intensity to achieve the same performance as prior analysis with two decoy intensities. This has two consequences - it makes the protocol easier to practically implement, and reduces the penalty incurred by using the postselection technique. Third, we extend the finite-size QKD analysis to decoy-state protocols and generically improve the finite-size correction terms that appear. Thus, we provide a full security proof against arbitrary attacks for generic decoy-state protocols.","Shlok Nahar (Institute for Quantum Computing and Department of Physics and Astronomy, University of Waterloo); Lars Kamin (Institute for Quantum Computing and Department of Physics and Astronomy, University of Waterloo); Devashish Tupkary (Institute for Quantum Computing); Yuming Zhao (Institute for Quantum Computing and Department of Pure Mathematics, University of Waterloo); Ernest Y.-Z. Tan (Institute for Quantum Computing and Department of Physics and Astronomy, University of Waterloo); and Norbert Lütkenhaus (Institute for Quantum Computing and Department of Physics and Astronomy, University of Waterloo)",2024,0.105215,0.806507,0.0882779,2,0,0,0,0.273316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169431,0,0.234975,0,0,0.373342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373342,0.0893092,0.262179,0,0,0.212849,0.524357,0,0,0,0,0,0,0,0.234975,0,0,0,0,0,0,0,0,0.234975,0,0,0.234975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999461
32,Succinct arguments for QMA from standard assumptions via compiled nonlocal games,Succinct Classical Argument Systems,Constructs a succinct classical argument system for QMA using standard cryptographic assumptions. Applies a general transformation for quantum nonlocal games. Analyzes soundness of the transformation in the context of Pauli measurements.,"We construct a succinct classical argument system for QMA, the quantum analogue of NP, from generic and standard cryptographic assumptions. Previously, building on the prior work of Mahadev (FOCS '18), Bartusek et al. (CRYPTO '22) also constructed a succinct classical argument system for QMA. However, their construction relied on post-quantumly secure indistinguishability obfuscation, a very strong primitive which is not known from standard cryptographic assumptions. In contrast, the primitives we use (namely, collapsing hash functions and a mild version of quantum homomorphic encryption) are much weaker and are implied by standard assumptions such as LWE. Our protocol is constructed using a general transformation which was designed by Kalai et al. (STOC '23) as a candidate method to compile any quantum nonlocal game into an argument system. Our main technical contribution is to analyze the soundness of this transformation when it is applied to a succinct self-test for Pauli measurements on maximally entangled states, the latter of which is a key component in the proof of MIP* = RE in quantum complexity.",Tony Metger (ETH Zurich); Anand Natarajan (MIT); Tina Zhang (MIT),2024,0.816428,0.0918233,0.0917489,1,0,0.201323,0.455365,0,0.180877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264833,0,0,0,0,0,0.227682,0,0,0,0.227682,0,0,0,0,0,0,0,0,0,0,0,0.361755,0,0,0,0,0,0,0,0.455365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455365,0,0,0,0,0,0,1.000000337
33,Simple constructions of linear-depth t-designs and pseudorandom unitaries,Efficient Random Unitaries,Introduces the PFC ensemble for constructing t-designs and pseudorandom unitaries. Provides the first construction of linear-depth t-designs and non-adaptive PRUs. Demonstrates adaptive pseudorandom isometries and their applications.,"Uniformly random unitaries, i.e. unitaries drawn from the Haar measure, have many useful properties but cannot be implemented efficiently. This has motivated a long line of research into random unitaries that ``look'' sufficiently Haar random while also being efficient to implement. Two different notions of derandomisation have emerged: t-designs are random unitaries that information-theoretically reproduce the first t moments of the Haar measure, and pseudorandom unitaries (PRUs) are random unitaries that are computationally indistinguishable from Haar random.In this work, we take a unified approach to constructing t-designs and PRUs. For this, we introduce and analyse the ``PFC ensemble'', the product of a computational basis permutation P, a random binary phase operator F, and a random Clifford unitary C. We show that this ensemble reproduces exponentially high moments of the Haar measure. We can then derandomise the PFC ensemble to show the following:-Linear-depth t-designs. We give the first construction of a (diamond-error) approximate t-design with circuit depth linear in t. This follows from the PFC ensemble by replacing the random phase and permutation operators with their 2t-wise independent counterparts. - Non-adaptive PRUs. We give the first construction of PRUs with non-adaptive security, i.e. we construct unitaries that are indistinguishable from Haar random to polynomial-time distinguishers that query the unitary in parallel on an arbitary state. This follows from the PFC ensemble by replacing the random phase and permutation operators with their pseudorandom counterparts. - Adaptive pseudorandom isometries. We show that if one considers isometries (rather than unitaries) from n to n + \omega(log n) qubits, a small modification of our PRU construction achieves adaptive security, i.e.~even a distinguisher that can query the isometry adaptively in sequence cannot distinguish it from Haar random isometries. This gives the first construction of adaptive pseudorandom isometries. Under an additional conjecture, this proof also extends to adaptive PRUs.",Tony Metger (ETH Zurich); Alexander Poremba (MIT); Makrand Sinha (UIUC); Henry Yuen (Columbia University),2024,0.0936186,0.0988709,0.80751,3,0,0,0,0,0.470174,0.101695,0,0,0,0,0,0,0.130012,0,0,0,0,0,0,0,0,0.14225,0,0,0,0.17444,0,0,0,0,0,0,0,0,0,0,0,0.17444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17444,0,0,0,0,0,0,0,0,0.394559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45894,0,0,0,0,0,0.523321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999592
34,Heralded entanglement of solid-state qubits at metropolitan scale,Metropolitan Scale Quantum Link,"Demonstrates a quantum link between Delft and The Hague for generating heralded entanglement. Utilizes NV center end nodes, Quantum Frequency Converters, and telecom fiber. Highlights real-time control and compatibility with various qubit platforms.","We present a deployed quantum link between the Dutch cities Delft and The Hague separated by 10 kilometers, capable of generating solid-state heralded entanglement. This link is realized by employing NV center end nodes, connecting them with state-of-the-art Quantum Frequency Converters and a phase-stabilized architecture over 25 kilometers of telecom fiber. By capitalizing on the full heralding capabilities of the network link in combination with real-time feedback logic on the long-lived qubits, we demonstrate the delivery of a predefined entangled state on the nodes irrespective of the detector outcome. The extendable design, real-time control and compatibility with other qubit platforms and makes this architecture an excellent candidate for future metropolitan scale quantum networks.","Arian Stolk (QuTech, Delft University of Technology); Kian van der Enden (QuTech, Delft University of Technology); Marie-Christine Slater (AIT Austrian Institute of Technology GmbH); Ingmar te Raa-Derckx (QuTech, Delft University of Technology); Pieter Botmar (QuTech, Delft University of Technology); Joris van Rantwijk (QuTech, Delft University of Technology); Benjamin Biemond (Netherlands Organisation for Applied Scientific Research (TNO); Ronald Hagen (Netherlands Organisation for Applied Scientific Research (TNO); Rodolf Herfst (Netherlands Organisation for Applied Scientific Research (TNO); Wouter Koek (Netherlands Organisation for Applied Scientific Research (TNO); Arjan Meskers (Netherlands Organisation for Applied Scientific Research (TNO); René Vollmer (Netherlands Organisation for Applied Scientific Research (TNO); Erwin van Zwet (Netherlands Organisation for Applied Scientific Research (TNO); Matthew Markham (Element Six Innovation); Andrew Edmonds (Element Six Innovation); Fabian Geus (Fraunhofer Institute for Laser Technology ILT); Florian Elsen (Fraunhofer Institute for Laser Technology ILT); Bernd Jungbluth (Fraunhofer Institute for Laser Technology ILT); Constantin Haefner (Fraunhofer Institute for Laser Technology ILT); Christoph Tresp (TOPTICA Photonics AG); Jürgen Stuhler (TOPTICA Photonics AG); Stephan Ritter (TOPTICA Photonics AG); and Ronald Hanson (QuTech, Delft University of Technology)",2024,0.790267,0.106283,0.10345,1,0,0,0,0,0,0.139328,0,0,0,0.214722,0,0,0,0,0,0.477988,0,0,0,0,0,0,0,0,0.314388,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54057,0,0,0,0,0,0,0,0,0,0,0.999999521
35,Composable discrete-modulated continuous-variable QKD and its application to urban atmospheric channels,Optical CVQKD for Atmospheric Channels,Develops an optical CVQKD system using polarization-based QPSK modulation for atmospheric quantum communication. Analyzes security in the finite size regime and applies the system to a 1.7 km atmospheric channel. Finds that high frame errors do not optimize key length.,"In our work, we developed an optical CVQKD system that uses polarization-based QPSK modulation designed for atmospheric quantum communication and a corresponding post-processing pipeline including error correction and privacy amplification. In a first laboratory experiment, we applied the security statement of a recently published security proof to calculate composable key rates with a total security parameter of ε = 1e-10 in the finite size regime against i.i.d. collective attacks. We also used the post-processing pipeline to study the effect of error correction and frame errors on the actual key extraction in a finite-size system – finding that the common approach of going to high frame errors to increase the ECC efficiency β does not optimize the extractable key length.Furthermore, we deployed the system over an ad-hoc atmospheric channel of 1.7 km in Mai 2023 in the city of Jena, Germany. In a first proof-of-principle study, we were able to apply the full optical and post-processing pipeline to extract pseudo-asymptotic keys and discuss the further steps necessary to move the system to the finite-size regime. To the best of our knowledge, this is the first CVQKD demonstration over a real atmospheric channel combining both the new class of DMCVQKD security proofs without Gaussian optimality and error correction steps.","Kevin Jaksch (Max Planck Institute for the Science of Light, Erlangen, Germany); Thomas Dirmeier (Max Planck Institute for the Science of Light, Erlangen, Germany); Jan Schreck (Max Planck Institute for the Science of Light, Erlangen, Germany); Yannick Weiser (Max Planck Institute for the Science of Light, Erlangen, Germany); Stefan Richter (Max Planck Institute for the Science of Light, Erlangen, Germany); Ömer Bayraktar (Max Planck Institute for the Science of Light, Erlangen, Germany); Bastian Hacker (Max Planck Institute for the Science of Light, Erlangen, Germany); Conrad Rößler (Max Planck Institute for the Science of Light, Erlangen, Germany); Imran Khan (Max Planck Institute for the Science of Light, Erlangen, Germany); Andrej Krzic (Fraunhofer Institute for Applied Optics and Precision Engineering, Jena, Germany); Markus Rothe (Fraunhofer Institute for Applied Optics and Precision Engineering, Jena, Germany); Markus Leipe (Fraunhofer Institute for Applied Optics and Precision Engineering, Jena, Germany); Nico Döll (Fraunhofer Institute for Applied Optics and Precision Engineering, Jena, Germany); Christopher Spiess (Fraunhofer Institute for Applied Optics and Precision Engineering, Jena, Germany); Matthias Goy (Fraunhofer Institute for Applied Optics and Precision Engineering, Jena, Germany); Stefan Petscharning (Austrian Institute of Technology, Center for Digital Safety&Security, Vienna, Austria); Thomas Grafenauer (Austrian Institute of Technology, Center for Digital Safety&Security, Vienna, Austria); Bernhard Ömer (Austrian Institute of Technology, Center for Digital Safety&Security, Vienna, Austria); Christoph Pacher (Austrian Institute of Technology, Center for Digital Safety&Security, Vienna, Austria); Florian Kanitschar (Austrian Institute of Technology, Center for Digital Safety&Security, Vienna, Austria); Twesh Upadhyaya (Institute for Quantum Computing and Department of Physics and Astronomy, University of Waterloo, Canada); Jie Lin (Institute for Quantum Computing and Department of Physics and Astronomy, University of Waterloo, Canada); Norbert Lütkenhaus (Institute for Quantum Computing and Department of Physics and Astronomy, University of Waterloo, Canada); Gerd Leuchs (Max Planck Institute for the Science of Light, Erlangen, Germany); and Christoph Marquardt (Department of Physics, Friedrich-Alexander-Universität Erlangen-Nürnberg, Germany)",2024,0.81985,0.0885367,0.0916135,1,0,0.174329,0,0,0,0,0,0,0,0,0,0,0,0.197154,0.174329,0,0,0,0,0,0,0,0,0,0,0.174329,0,0.156625,0.174329,0,0.687971,0,0,0,0,0.229324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749341,0,0,0,0.0595296,0,0.313249,0,0,0.10163,0.156625,0,0,0,0,0,0,0.197154,0,0,0,0,0.197154,0,0,0,0,0,0,0,0,0.197154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174329,1.00000033
36,QUBE - A CubeSat mission to demonstrate new building blocks for satellite based quantum key distribution,QUBE CubeSat Mission for Quantum Key Distribution (QKD),"Objective: Evaluate novel, miniaturized QKD building blocks in space.
Launch Date: Scheduled for July 2024.
Technology: Includes an optical downlink to an optical ground station.
Significance: Aims to provide insights into technology that could enable a cost-effective satellite-based QKD system on a global scale.
Potential Impact: Could form the backbone of global satellite-based QKD systems.","The CubeSat mission QUBE aims to evaluate novel, miniaturized Quantum Key Distribution (QKD) building blocks in space including an optical downlink to an optical ground station. The mission will be launched in July 2024 and will provide important insights into new technology which potentially could form the backbone of a cost-effective satellite based QKD system on a global scale.",Jonas Pudelko (Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU)); Michael Auer (Ludwig Maximilian University (LMU)); Adomas Baliuka (Ludwig Maximilian University (LMU)); Ömer Bayraktar (Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU)); Moritz Birkhold (Ludwig Maximilian University (LMU)); Peter Freiwang (Ludwig Maximilian University (LMU)); Matthias Grünefeld (OHB System AG); Roland Haber (Center for Telematics (ZfT)); Martin Hutterer (OHB System AG); Janko Janusch (OHB System AG); Imran Khan (Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU)); Lukas Knips (Ludwig Maximilian University (LMU)); Norbert Lemke (OHB System AG); Christoph Marquardt (Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU)); Florian Moll (German Aerospace Center (DLR)); Benjamin Rödiger (German Aerospace Center (DLR)); Klaus Schilling (Center for Telematics (ZfT)); Christopher Schmidt (German Aerospace Center (DLR)); Bhardwaj Shastri (Center for Telematics (ZfT)); Michael Steinberger (Ludwig Maximilian University (LMU); Karina Szych (OHB System AG); Joost Vermeer (Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU); Paul Wagner (German Aerospace Center (DLR IKN) ); Harald Weinfurter (Ludwig Maximilian University (LMU),2024,0.803353,0.101863,0.0947849,1,0,0,0,0,0,0.128464,0,0,0,0,0,0.249209,0,0,0,0,0,0,0,0,0,0.179694,0,0,0,0,0,0.593937,0,0,0,0,0,0,0,0,0.328469,0,0,0,0,0,0,0,0,0,0,0,0,0.378877,0,0,0,0,0,0.395958,0,0,0.256928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249209,0,0,0,0,0,0,0,0,0,0,0.999999372
